,group_id,category_id,category.name,category.shortname,city,country,link,group_name,events
9649,19923433,2,career/business,career-business,Chicago,US,https://www.meetup.com/Plan-to-Pitch-8-Wk-Business-Start-Up-Class/,Plan to Pitch: 8 Wk Business Start Up Class,[]
9650,19923784,14,health/wellbeing,health-wellbeing,New York,US,https://www.meetup.com/Meditation-on-Twin-Hearts-and-Pranic-Healing-NYC/,Meditation on Twin Hearts & Pranic Healing - Thursdays NYC,[]
9651,19925680,21,music,music,Chicago,US,https://www.meetup.com/PianoForte-Piano-Performance-Meet-Up/,PianoForte Piano Performance Meet Up,[]
9652,19926575,16,language/ethnic identity,language,New York,US,https://www.meetup.com/new-york-africans/,New York Africans Meetup,[]
9653,19927387,6,education/learning,education-learning,San Francisco,US,https://www.meetup.com/Events-That-Make-You-Smarter/,Events That Make You Smarter,[]
9654,19928966,23,outdoors/adventure,outdoors-adventure,Chicago,US,https://www.meetup.com/chicago-international-travel/,Chicago International Travel,[]
9655,19929281,2,career/business,career-business,Chicago,US,https://www.meetup.com/IntelligentMillionairesNetwork/,The Intelligent Millionaires Network,[]
9656,19929390,13,movements/politics,government-politics,New York,US,https://www.meetup.com/NYC-ISRAEL-PARLIAMENT/,Greater NY Israeli Parliament         ,[]
9657,19929415,17,alternative lifestyle,lifestyle,New York,US,https://www.meetup.com/New-York-Live-Action-Role-Playing-Meetup/,New York Live Action Role Playing Meetup,[]
9658,19929796,14,health/wellbeing,health-wellbeing,Chicago,US,https://www.meetup.com/luxwellness/,Wellness Lighthouse,[]
9659,19930931,13,movements/politics,government-politics,New York,US,https://www.meetup.com/New-York-Basic-Income-Meetup/,New York Basic Income Meetup,[]
9660,19930997,18,book clubs,book-clubs,Chicago,US,https://www.meetup.com/Chicago-Cold-Reads/,Chicago Cold Reads,[]
9661,19932414,2,career/business,career-business,New York,US,https://www.meetup.com/East-Side-Toastmasters-for-Communication-and-Leadership/,East Side Toastmasters,[]
9662,19933133,23,outdoors/adventure,outdoors-adventure,San Francisco,US,https://www.meetup.com/Four-Corners-Hiking-Beer/,Four Corners Hiking & Beer Club,[]
9663,19933143,16,language/ethnic identity,language,San Francisco,US,https://www.meetup.com/ILSC-English-Experience/,ILSC English Experience,[]
9664,19933356,20,movies/film,movies-film,San Francisco,US,https://www.meetup.com/sfgoethe/,Goethe-Institut San Francisco,[]
9665,19933384,22,new age/spirituality,new-age-spirituality,San Francisco,US,https://www.meetup.com/Bay-Area-Reiki-Share/,Bay Area Reiki Share,[]
9666,19933698,14,health/wellbeing,health-wellbeing,Chicago,US,https://www.meetup.com/The-Council-of-Negro-Yogis-Chicago-Chapter/,The Council of Negro Yogis - Chicago Chapter,[]
9667,19933890,34,tech,tech,San Francisco,US,https://www.meetup.com/SanFranciscoDesign/,San Francisco Design Meetup,[]
9668,19934515,25,parents/family,parents-family,Chicago,US,https://www.meetup.com/Potential-Mothers-Preparation-Chicago-Meetup/,Potential Mothers Preparation Chicago Meetup,[]
9669,19935488,22,new age/spirituality,new-age-spirituality,San Francisco,US,https://www.meetup.com/Communal-Adopting-Fostering-Families/,Communal Adopting/Fostering Families,[]
9670,19935538,14,health/wellbeing,health-wellbeing,San Francisco,US,https://www.meetup.com/East-West-Academy-of-Healing-Arts-Chow-Medical-Qigong/,East West Academy of Healing Arts - Chow Medical Qigong,[]
9671,19936669,22,new age/spirituality,new-age-spirituality,New York,US,https://www.meetup.com/Young-Adult-Conversations-on-Spirituality/,Young Adult Conversations on Spirituality,[]
9672,19936710,4,community/environment,community-environment,New York,US,https://www.meetup.com/Volunteer-NYC-or-Internationally-bound/,Volunteer NYC or Internationally bound,[]
9673,19937448,9,fitness,fitness,Chicago,US,https://www.meetup.com/Chicago-Vegan-and-Vegetarian-Runners/,Chicago Vegan and Vegetarian  Runners,[]
9674,19937525,22,new age/spirituality,new-age-spirituality,New York,US,https://www.meetup.com/yourdreamlifenow/,Your Dream Life Now,[]
9675,19937810,14,health/wellbeing,health-wellbeing,San Francisco,US,https://www.meetup.com/JunoVR-Mindfulness-Tech-Meetup/,JunoVR - Virtual Reality Meditation Meetup,[]
9676,19938053,34,tech,tech,New York,US,https://www.meetup.com/TV-Revolution/,TV Revolution,[]
9677,19938358,31,socializing,socializing,New York,US,https://www.meetup.com/Thinking-of-Moving-Get-to-Know-NYC-Neighborhoods/,Thinking of Moving?  Get to Know NYC Neighborhoods!,[]
9678,19939097,6,education/learning,education-learning,New York,US,https://www.meetup.com/Activities-and-Fun-Events-to-Explore-New-York-City/,Activities and Fun Events to Explore New York City,[]
9679,19940485,2,career/business,career-business,Chicago,US,https://www.meetup.com/Chicago-Marketing-Meetup-Mautic/,Chicago Marketing Meetup Mautic,[]
9680,19940502,34,tech,tech,New York,US,https://www.meetup.com/meetup-group-qwFCYNVs/,NYC Data and Analytics Networking and Happy Hour,[]
9681,19941328,23,outdoors/adventure,outdoors-adventure,Chicago,US,https://www.meetup.com/Chicago-Dream-Travelers/,Chicago Dream Travelers,[]
9682,19942179,34,tech,tech,San Francisco,US,https://www.meetup.com/swiftdev/,San Francisco Swift Developers,[]
9683,19942304,9,fitness,fitness,Chicago,US,https://www.meetup.com/TNT-ChiTri-16/,Team in Training ChiTri '16,[]
9684,19942355,34,tech,tech,Chicago,US,https://www.meetup.com/LEAP-Chicago-Ed-Tech-Meetup/,LEAP Chicago Ed Tech Meetup,[]
9685,19943021,23,outdoors/adventure,outdoors-adventure,New York,US,https://www.meetup.com/HudsonValleyKayaks/,Hudson Valley Kayaks,[]
9686,19943234,10,food/drink,food-drink,San Francisco,US,https://www.meetup.com/San-Francisco-Ice-Cream-Tour-Meetup/,San Francisco Ice Cream Tour Meetup,[]
9687,19943281,2,career/business,career-business,New York,US,https://www.meetup.com/NYC-Startup-Academy/,NYC Startup Academy,[]
9688,19944159,25,parents/family,parents-family,San Francisco,US,https://www.meetup.com/San-Francisco-Parents-for-Private-School/,San Francisco Parents for Private School,[]
9689,19945009,31,socializing,socializing,San Francisco,US,https://www.meetup.com/Ladies-in-Relationships-SF/,Ladies in Relationships (SF),[]
9690,19945939,2,career/business,career-business,Chicago,US,https://www.meetup.com/Office-365-Adoption-User-Group-Chicagoland-Chapter/,Office 365 Adoption User Group - Chicagoland Chapter,[]
